docdb_family_id,appln_id,appln_filing_year,appln_auth,appln_nr,docdb_family_size,earliest_publn_date,nb_applicants,nb_inventors,person_ctry_code,person_name,person_id,doc_std_name_id,psn_sector,applt_seq_nr,invt_seq_nr
30117093,2620381,2003,AU,2003251316,22,2004-01-23,1,4,US,"Genetronics, Inc.",7710489,84326,COMPANY,1,0
30117093,2620381,2003,AU,2003251316,22,2004-01-23,1,4,  ,IACOB MATHIESEN,14295146,152776,INDIVIDUAL,0,2
30117093,2620381,2003,AU,2003251316,22,2004-01-23,1,4,  ,"TORUNN, ELISABETH TJELLE",14762926,152777,,0,3
30117093,2620381,2003,AU,2003251316,22,2004-01-23,1,4,  ,BJORN DAVID-ANDERSEN,14851113,842179,,0,1
30117093,2620381,2003,AU,2003251316,22,2004-01-23,1,4,  ,"KNUT, ARVID, SORENSEN REKDAHL",14851114,842178,,0,4
30117093,3507595,2003,BR,0312459,22,2005-08-02,1,4,  ,IACOB MATHIESEN,14295146,152776,INDIVIDUAL,0,1
30117093,3507595,2003,BR,0312459,22,2005-08-02,1,4,  ,BJORN DAVID-ANDERSEN,14851113,842179,,0,4
30117093,3507595,2003,BR,0312459,22,2005-08-02,1,4,  ,TORUNN ELISABETH TJELLE,15094870,152777,,0,2
30117093,3507595,2003,BR,0312459,22,2005-08-02,1,4,NO,INOVIO AS,15446363,842176,COMPANY,1,0
30117093,3507595,2003,BR,0312459,22,2005-08-02,1,4,  ,KNUT ARVID SORENSEN BEKDAHL,15446364,5479112,,0,3
30117093,4869287,2003,CA,2491000,22,2004-01-15,1,4,NO,INOVIO AS,15446363,842176,COMPANY,1,0
30117093,4869287,2003,CA,2491000,22,2004-01-15,1,4,NO,"MATHIESEN, IACOB",16611647,152776,INDIVIDUAL,0,1
30117093,4869287,2003,CA,2491000,22,2004-01-15,1,4,NO,"TJELLE, TORUNN ELISABETH",16803180,152777,,0,2
30117093,4869287,2003,CA,2491000,22,2004-01-15,1,4,NO,"DAVID-ANDERSEN, BJORN",16821825,842179,,0,4
30117093,4869287,2003,CA,2491000,22,2004-01-15,1,4,NO,"REKDAHL, KNUT ARVID SORENSEN",16821826,842178,,0,3
30117093,7062006,2003,CN,03820724,22,2005-10-05,1,4,  ,INOVIO AS,14762925,842176,COMPANY,1,0
30117093,7062006,2003,CN,03820724,22,2005-10-05,1,4,  ,MATHIESEN IACOB,18690936,152776,INDIVIDUAL,0,1
30117093,7062006,2003,CN,03820724,22,2005-10-05,1,4,  ,TJELLE TORUNN ELIZABETH,18690937,7056640,,0,2
30117093,7062006,2003,CN,03820724,22,2005-10-05,1,4,  ,REKDAHL KNUT ARVID SORENSEN,18690938,7056641,,0,3
30117093,7062006,2003,CN,03820724,22,2005-10-05,1,4,  ,DAVID-ANDERSEN BJORN,18690939,7056642,,0,4
30117093,16064350,2003,EP,03762794,22,2005-04-06,1,4,US,"Genetronics, Inc.",208407,84326,COMPANY,1,0
30117093,16064350,2003,EP,03762794,22,2005-04-06,1,4,NO,"MATHIESEN, Iacob",1123220,152776,,0,1
30117093,16064350,2003,EP,03762794,22,2005-04-06,1,4,NO,"TJELLE, Torunn, Elisabeth",1489794,152777,,0,2
30117093,16064350,2003,EP,03762794,22,2005-04-06,1,4,NO,"REKDAHL, Knut, Arvid, Sorensen",1489795,842178,,0,3
30117093,16064350,2003,EP,03762794,22,2005-04-06,1,4,NO,"DAVID-ANDERSEN, Bjorn",1489796,842179,,0,4
30117093,21406278,2003,WO,0302887,22,2004-01-15,6,4,NO,INOVIO AS,15446363,842176,COMPANY,1,0
30117093,21406278,2003,WO,0302887,22,2004-01-15,6,4,NO,"MATHIESEN, IACOB",16611647,152776,INDIVIDUAL,2,1
30117093,21406278,2003,WO,0302887,22,2004-01-15,6,4,NO,"TJELLE, TORUNN, ELISABETH",25658398,152777,INDIVIDUAL,3,2
30117093,21406278,2003,WO,0302887,22,2004-01-15,6,4,NO,"REKDAHL, KNUT, ARVID, SOERENSEN",27980476,3482124,INDIVIDUAL,4,3
30117093,21406278,2003,WO,0302887,22,2004-01-15,6,4,NO,"DAVID-ANDERSEN, BJOERN",27980477,10974260,INDIVIDUAL,5,4
30117093,21406278,2003,WO,0302887,22,2004-01-15,6,4,GB,"POWER, PHILIPPA",27980478,842177,INDIVIDUAL,6,0
30117093,41344030,2003,MX,PA05000155,22,2006-02-28,1,1,NO,INOVIO AS,15446363,842176,COMPANY,1,0
30117093,41344030,2003,MX,PA05000155,22,2006-02-28,1,1,NO,"MATHIESEN, IACOB",16611647,152776,INDIVIDUAL,0,1
30117093,52215681,2003,US,61230403,22,2004-03-25,1,4,US,Inovio AS,5898121,842176,COMPANY,1,0
30117093,52215681,2003,US,61230403,22,2004-03-25,1,4,NO,"Mathiesen, Iacob",9149577,152776,,0,1
30117093,52215681,2003,US,61230403,22,2004-03-25,1,4,NO,"Tjelle, Torunn",9149578,3482123,,0,2
30117093,52215681,2003,US,61230403,22,2004-03-25,1,4,NO,"Rekdahl, Knut Arvid SÃ¸rensen",9149579,3482124,,0,3
30117093,52215681,2003,US,61230403,22,2004-03-25,1,4,NO,"David-Andersen, BjÃ¸m",9149580,3482125,,0,4
30117093,54440519,2007,US,98582507,22,2008-09-25,1,4,NO,"Mathiesen, Iacob",5773218,152776,INDIVIDUAL,0,1
30117093,54440519,2007,US,98582507,22,2008-09-25,1,4,US,Inovio AS,5898121,842176,COMPANY,1,0
30117093,54440519,2007,US,98582507,22,2008-09-25,1,4,NO,"Tjelle, Torunn",10723903,3482123,,0,2
30117093,54440519,2007,US,98582507,22,2008-09-25,1,4,NO,"Rekdahl, Knut Arvid Sorensen",10723904,842178,INDIVIDUAL,0,3
30117093,54440519,2007,US,98582507,22,2008-09-25,1,4,NO,"David-Andersen, Bjorn",10723905,842179,INDIVIDUAL,0,4
30117093,57872860,2003,EA,200401558,22,2006-08-25,1,4,NO,MATHIESEN IACOB,64122667,152776,,0,1
30117093,57872860,2003,EA,200401558,22,2006-08-25,1,4,NO,"TJELLE TORUNN, ELISABETH",64150788,152777,,0,2
